Age,Job,Marital,Education,Default,Balance,Housing,Loan,Contact,Day,Month,Duration,Campaign,P-days,Previous,P-outcome,Y
28,Blue-collar,Single,Secondary,No,3412,Yes,No,Cellular,15,May,22,4,-1,0,N/A,No
54,Blue-collar,Married,Secondary,No,1291,Yes,No,N/A,5,May,266,1,-1,0,N/A,No
37,Technician,Divorced,Secondary,No,79,No,No,Cellular,21,July,191,1,-1,0,N/A,No
59,Self-employed,Married,Tertiary,No,2013,No,No,Cellular,19,February,222,4,94,2,Success,Yes
58,Blue-collar,Divorced,Secondary,No,543,No,Yes,Telephone,17,July,264,3,-1,0,N/A,No
56,Management,Divorced,Tertiary,No,1016,Yes,No,N/A,9,June,184,5,-1,0,N/A,No
32,Blue-collar,Single,Secondary,No,604,No,Yes,Cellular,28,May,95,3,-1,0,N/A,No
42,Management,Single,Tertiary,No,525,No,No,Cellular,13,August,127,2,-1,0,N/A,No
52,Retired,Divorced,Primary,No,353,No,No,Cellular,31,July,395,4,-1,0,N/A,No
46,Management,Married,Tertiary,No,964,Yes,No,Cellular,8,April,174,1,-1,0,N/A,No
37,Admin.,Married,Tertiary,No,3913,Yes,No,Cellular,27,April,124,1,-1,0,N/A,Yes
39,Blue-collar,Married,Primary,No,879,Yes,No,N/A,26,May,102,2,-1,0,N/A,No
31,Admin.,Married,Secondary,No,314,Yes,No,Cellular,17,April,279,1,-1,0,N/A,No
59,Housemaid,Married,Primary,No,0,No,No,Cellular,27,August,76,11,-1,0,N/A,No
38,Blue-collar,Married,Secondary,No,1370,Yes,No,Cellular,11,May,472,2,-1,0,N/A,No
58,Management,Married,Secondary,No,37,No,No,Cellular,18,August,84,11,-1,0,N/A,No
34,Management,Single,Tertiary,No,673,Yes,Yes,Cellular,20,November,271,1,184,1,Failure,No
40,Services,Married,Secondary,No,-342,Yes,No,N/A,26,May,754,1,-1,0,N/A,No
20,Student,Single,Secondary,No,291,No,No,Telephone,11,May,172,5,371,5,Failure,No
34,Technician,Married,Secondary,No,209,Yes,Yes,Cellular,8,April,375,2,-1,0,N/A,No
31,Technician,Single,Tertiary,No,438,Yes,No,Cellular,12,August,130,2,-1,0,N/A,No
39,Admin.,Single,Secondary,No,1242,Yes,No,N/A,12,May,303,3,-1,0,N/A,No
34,Entrepreneur,Married,Tertiary,No,355,Yes,No,N/A,16,May,261,1,-1,0,N/A,No
24,Blue-collar,Married,Secondary,No,204,Yes,Yes,Cellular,17,April,229,3,-1,0,N/A,No
41,Management,Married,Tertiary,No,10758,Yes,No,Cellular,1,June,288,1,-1,0,N/A,No
40,Management,Married,Tertiary,No,5,Yes,No,Cellular,18,November,219,3,-1,0,N/A,No
45,Technician,Single,Secondary,No,410,Yes,No,N/A,30,May,891,4,-1,0,N/A,Yes
36,Management,Married,Tertiary,No,605,Yes,No,N/A,26,May,204,1,-1,0,N/A,No
53,Management,Married,Tertiary,No,4,No,No,N/A,20,June,19,6,-1,0,N/A,No
23,Student,Single,Secondary,No,8494,No,No,Cellular,25,August,158,2,-1,0,N/A,No
42,Entrepreneur,Married,Primary,No,198,Yes,No,N/A,8,May,314,1,-1,0,N/A,No
48,Blue-collar,Married,Secondary,No,841,Yes,No,N/A,19,May,215,1,-1,0,N/A,No
34,Management,Married,Tertiary,No,8,No,No,Cellular,25,August,169,4,-1,0,N/A,No
36,Admin.,Married,Secondary,No,470,Yes,No,Cellular,31,July,101,4,-1,0,N/A,No
43,Retired,Married,Secondary,No,520,Yes,No,N/A,20,May,15,13,-1,0,N/A,No
36,Blue-collar,Married,Secondary,No,439,Yes,No,N/A,21,May,260,5,-1,0,N/A,No
49,Blue-collar,Married,Secondary,No,-454,Yes,No,Cellular,14,May,558,1,-1,0,N/A,Yes
55,Retired,Married,Secondary,No,466,No,No,N/A,17,June,287,4,-1,0,N/A,No
53,Retired,Married,Secondary,No,665,Yes,No,Cellular,22,April,371,2,-1,0,N/A,Yes
42,Technician,Married,Secondary,No,994,Yes,No,Cellular,11,August,149,1,78,5,Failure,Yes
45,Admin.,Married,Secondary,No,5346,Yes,Yes,N/A,21,October,187,1,-1,0,N/A,Yes
31,Blue-collar,Married,Secondary,No,1243,Yes,No,N/A,21,May,32,1,-1,0,N/A,No
32,Admin.,Married,Tertiary,No,0,Yes,No,N/A,5,May,138,1,-1,0,N/A,No
36,Blue-collar,Married,Secondary,No,2357,Yes,No,N/A,17,June,228,2,-1,0,N/A,No
56,Retired,Married,Secondary,No,1044,No,No,Telephone,3,July,353,2,-1,0,N/A,Yes
46,Admin.,Married,Secondary,No,1069,Yes,No,N/A,8,May,45,2,-1,0,N/A,No
41,Housemaid,Single,Secondary,No,231,No,No,Cellular,9,July,76,2,-1,0,N/A,No
31,Admin.,Married,Secondary,No,0,Yes,Yes,N/A,6,May,144,2,-1,0,N/A,No
32,Technician,Married,Secondary,No,266,Yes,No,Cellular,19,August,168,2,-1,0,N/A,No
38,Management,Married,Tertiary,No,-70,Yes,No,Cellular,30,January,140,1,2,3,other,No
49,Retired,Single,Primary,No,25824,No,No,N/A,17,June,94,1,-1,0,N/A,No
46,Management,Single,Primary,No,538,No,No,N/A,17,June,118,3,-1,0,N/A,No
29,Technician,Single,Secondary,No,534,Yes,No,Cellular,18,May,382,1,-1,0,N/A,No
36,Admin.,Married,N/A,No,2323,No,No,Cellular,19,November,111,1,-1,0,N/A,No
38,Admin.,Married,Secondary,No,1852,Yes,No,Cellular,15,May,298,2,-1,0,N/A,No
53,Technician,Married,Secondary,No,2647,Yes,No,N/A,30,May,121,1,-1,0,N/A,No
43,Management,Married,Tertiary,No,2767,Yes,No,N/A,15,May,317,7,-1,0,N/A,No
41,Management,Married,Tertiary,No,176,Yes,Yes,N/A,5,May,42,1,-1,0,N/A,No
42,Management,Single,Secondary,No,9720,No,No,Cellular,5,August,81,2,-1,0,N/A,No
55,Blue-collar,Divorced,Secondary,No,1613,Yes,No,Cellular,3,April,296,1,270,3,Failure,Yes
39,Admin.,Divorced,Secondary,No,2903,Yes,Yes,Telephone,25,July,259,2,-1,0,N/A,No
30,Admin.,Single,Secondary,No,81,Yes,No,Cellular,6,August,121,6,112,3,other,No
41,Blue-collar,Married,Secondary,No,780,Yes,No,Cellular,15,May,432,3,-1,0,N/A,No
44,Unemployed,Married,Tertiary,No,178,No,No,Cellular,8,August,126,2,-1,0,N/A,No
58,Management,Married,Tertiary,No,299,No,No,Cellular,16,July,120,4,-1,0,N/A,No
35,Retired,Married,Primary,No,285,Yes,No,Cellular,29,January,136,1,-1,0,N/A,No
27,Blue-collar,Married,Secondary,No,872,Yes,No,Cellular,17,April,1130,3,-1,0,N/A,No
34,Services,Married,Secondary,No,1337,No,No,Cellular,17,December,330,2,127,3,Success,Yes
25,Services,Married,Secondary,No,72,Yes,No,Cellular,23,July,305,2,-1,0,N/A,No
36,Blue-collar,Married,Secondary,No,0,No,No,N/A,20,June,332,3,-1,0,N/A,No
38,Blue-collar,Married,Secondary,No,-388,Yes,No,N/A,9,May,412,1,-1,0,N/A,No
30,Admin.,Married,Secondary,No,11,Yes,No,Cellular,11,May,157,1,-1,0,N/A,No
47,Blue-collar,Divorced,Secondary,Yes,-535,Yes,No,Cellular,30,July,71,2,-1,0,N/A,No
41,Services,Divorced,Secondary,No,787,Yes,No,Cellular,8,May,297,2,-1,0,N/A,No
36,Management,Single,Tertiary,No,3343,No,No,Cellular,18,November,307,1,-1,0,N/A,No
63,Entrepreneur,Married,Secondary,No,3904,No,No,Telephone,4,August,250,2,187,2,Success,Yes
23,Management,Single,Tertiary,No,736,Yes,No,Cellular,30,April,119,1,-1,0,N/A,No
32,Management,Married,Tertiary,No,1390,No,No,Cellular,7,August,116,2,-1,0,N/A,No
57,Retired,Married,Primary,No,808,No,No,Telephone,7,July,274,1,-1,0,N/A,No
48,Management,Married,Tertiary,No,1147,No,No,Cellular,5,August,389,1,64,2,Success,Yes
49,Services,Married,Secondary,No,1122,No,No,Cellular,4,August,143,1,-1,0,N/A,No
50,Technician,Married,Secondary,No,-568,Yes,Yes,N/A,28,May,860,2,-1,0,N/A,No
33,Blue-collar,Married,Primary,No,1165,Yes,No,N/A,21,May,420,2,-1,0,N/A,No
53,Services,Divorced,Secondary,No,-905,Yes,No,N/A,28,May,213,1,-1,0,N/A,No
30,Unemployed,Married,Tertiary,No,0,Yes,No,Cellular,18,November,756,1,-1,0,N/A,No
38,Technician,Married,Secondary,No,740,No,No,Cellular,7,August,259,3,-1,0,N/A,No
44,Management,Married,Secondary,No,8262,Yes,No,Cellular,23,July,201,16,-1,0,N/A,No
39,Admin.,Single,Secondary,No,14,Yes,Yes,N/A,13,May,19,9,-1,0,N/A,No
45,Technician,Single,N/A,No,7108,Yes,Yes,Cellular,18,November,53,1,172,3,Failure,No
36,Blue-collar,Married,Secondary,No,1049,Yes,No,Cellular,14,May,224,4,-1,0,N/A,Yes
38,Blue-collar,Married,Secondary,No,0,Yes,No,Cellular,13,May,57,5,349,1,other,No
36,Housemaid,Married,Secondary,No,419,Yes,No,N/A,30,May,251,1,-1,0,N/A,No
30,Management,Single,Tertiary,No,726,Yes,No,Cellular,16,April,39,1,342,3,Failure,No
28,Technician,Divorced,Tertiary,No,594,Yes,Yes,N/A,18,June,54,3,-1,0,N/A,No
26,Unemployed,Married,Tertiary,No,454,Yes,Yes,N/A,23,May,28,18,-1,0,N/A,No
54,N/A,Married,Secondary,No,2206,No,No,Cellular,12,November,104,1,99,2,other,Yes
38,Admin.,Married,Tertiary,No,1988,No,No,Cellular,27,March,164,2,130,2,Failure,Yes
32,Technician,Single,Tertiary,No,0,No,No,Cellular,7,August,268,2,-1,0,N/A,No
50,Admin.,Divorced,Secondary,No,202,No,Yes,Cellular,17,November,148,1,-1,0,N/A,No
43,Blue-collar,Married,Secondary,No,667,Yes,No,N/A,7,May,228,3,-1,0,N/A,No
48,Admin.,Married,Secondary,No,112,No,No,Cellular,18,August,139,5,-1,0,N/A,No
57,Housemaid,Married,Primary,No,50,No,No,Cellular,18,August,89,3,-1,0,N/A,No
64,Housemaid,Married,Primary,No,768,No,No,Cellular,15,July,250,2,182,1,Success,No
26,Services,Divorced,Secondary,No,74,Yes,No,N/A,23,May,106,6,-1,0,N/A,No
33,Blue-collar,Married,Secondary,No,661,Yes,No,Cellular,18,July,968,1,-1,0,N/A,Yes
50,Self-employed,Married,Secondary,No,3025,No,Yes,Cellular,6,August,168,3,-1,0,N/A,No
47,Self-employed,Married,Tertiary,No,751,No,No,Cellular,24,July,408,14,-1,0,N/A,No
39,Management,Single,Tertiary,No,416,No,No,Cellular,23,October,56,4,-1,0,N/A,No
52,Services,Married,Primary,No,14,No,Yes,Cellular,28,July,55,5,-1,0,N/A,No
31,Blue-collar,Single,Primary,No,-502,Yes,No,N/A,29,May,76,4,-1,0,N/A,No
50,Blue-collar,Married,Primary,No,0,No,No,Cellular,11,August,72,5,-1,0,N/A,No
47,Technician,Married,Secondary,No,599,Yes,No,Cellular,13,August,99,3,-1,0,N/A,No
30,Management,Single,Tertiary,No,-218,Yes,No,Cellular,27,August,13,15,-1,0,N/A,No
32,Technician,Single,Tertiary,No,1012,No,No,Cellular,14,April,178,1,-1,0,N/A,No
36,Technician,Married,Secondary,No,300,No,No,N/A,9,June,287,1,-1,0,N/A,No
46,Technician,Married,Tertiary,No,217,Yes,No,Cellular,14,May,141,1,346,2,other,No
45,Management,Divorced,Tertiary,No,2096,No,No,Cellular,21,November,127,1,100,2,Failure,No
37,Technician,Single,Secondary,No,0,No,No,Cellular,4,August,69,2,-1,0,N/A,No
58,Housemaid,Married,Primary,No,5278,Yes,No,N/A,4,June,763,4,-1,0,N/A,No
59,Management,Married,Tertiary,No,1831,No,No,Cellular,17,February,122,1,92,1,Failure,No
28,Management,Married,Tertiary,No,1480,Yes,No,Cellular,18,May,143,1,-1,0,N/A,No
48,Management,Married,Tertiary,No,7289,Yes,No,Cellular,2,February,316,3,-1,0,N/A,No
55,Blue-collar,Married,N/A,No,1665,No,No,Telephone,30,July,89,2,-1,0,N/A,No
37,Blue-collar,Single,Primary,No,851,Yes,No,Cellular,15,May,151,1,352,1,Failure,No
41,Management,Married,Tertiary,No,2885,No,No,Cellular,19,November,40,1,-1,0,N/A,No
35,Blue-collar,Married,Secondary,No,137,No,Yes,N/A,4,October,5,1,808,12,Failure,No
34,Blue-collar,Single,Secondary,No,1239,Yes,No,Cellular,18,July,90,1,-1,0,N/A,No
43,Management,Single,Tertiary,No,146,No,No,Cellular,21,November,50,1,113,5,other,No
59,Technician,Married,Secondary,No,1,No,No,Cellular,15,April,159,2,378,3,Failure,Yes
50,Blue-collar,Divorced,Primary,No,-10,No,Yes,Cellular,10,July,369,6,-1,0,N/A,No
37,Technician,Married,Secondary,No,480,No,No,Cellular,22,October,344,2,182,8,other,Yes
35,Technician,Married,Secondary,No,2789,Yes,No,Cellular,4,September,256,2,94,1,Failure,No
50,Technician,Single,Secondary,No,3897,No,No,Cellular,26,October,298,1,-1,0,N/A,No
36,Technician,Divorced,Secondary,No,487,No,Yes,Cellular,11,August,268,3,-1,0,N/A,No
41,Admin.,Married,Secondary,No,5110,Yes,No,Cellular,13,April,231,1,-1,0,N/A,No
28,Management,Married,Tertiary,No,318,Yes,No,N/A,27,May,4,4,-1,0,N/A,No
42,Technician,Single,Tertiary,No,-411,Yes,No,Cellular,12,May,78,5,292,3,Failure,No
60,Retired,Married,Secondary,No,4820,No,No,N/A,5,June,419,1,-1,0,N/A,No
28,Management,Single,Tertiary,No,4937,Yes,No,Telephone,13,May,421,3,-1,0,N/A,No
48,Entrepreneur,Married,Secondary,No,725,No,Yes,Cellular,10,July,105,1,-1,0,N/A,No
51,Entrepreneur,Married,Tertiary,No,5403,No,No,N/A,6,June,42,1,-1,0,N/A,No
32,Technician,Married,Tertiary,No,4089,No,No,Cellular,26,May,114,7,287,3,Failure,No
35,Technician,Married,Tertiary,No,188,No,No,Cellular,26,August,286,2,-1,0,N/A,No
37,Technician,Married,N/A,No,189,No,No,Cellular,1,October,238,1,107,2,Success,Yes
38,Blue-collar,Divorced,Secondary,No,2998,Yes,No,N/A,11,June,91,1,-1,0,N/A,No
77,Retired,Married,Secondary,No,610,No,No,Cellular,13,August,766,3,-1,0,N/A,No
32,Management,Single,N/A,No,787,No,No,Cellular,28,January,92,1,-1,0,N/A,No
43,Technician,Divorced,Secondary,No,167,No,No,Cellular,4,August,211,3,-1,0,N/A,No
36,Management,Single,Tertiary,No,243,Yes,No,Cellular,7,May,160,2,360,3,Failure,No
29,Management,Married,Tertiary,No,877,No,No,Cellular,3,February,166,3,-1,0,N/A,No
32,Admin.,Single,Secondary,No,2817,Yes,No,Cellular,21,November,195,1,-1,0,N/A,No
41,Management,Divorced,Tertiary,No,4567,Yes,Yes,Cellular,16,July,106,1,-1,0,N/A,No
26,Services,Single,Secondary,No,127,Yes,Yes,Cellular,23,July,85,3,-1,0,N/A,No
34,Blue-collar,Married,Primary,No,176,No,No,Cellular,24,July,78,1,-1,0,N/A,No
57,Retired,Married,Tertiary,No,0,Yes,Yes,N/A,28,May,648,1,-1,0,N/A,Yes
36,Services,Single,Secondary,No,1482,Yes,No,Cellular,18,November,177,2,174,1,other,No
42,Blue-collar,Married,Secondary,No,3052,Yes,No,N/A,27,May,32,1,-1,0,N/A,No
35,Technician,Divorced,Secondary,No,56,No,No,Cellular,29,August,24,12,-1,0,N/A,No
52,Entrepreneur,Divorced,Primary,No,278,Yes,No,N/A,7,May,688,2,-1,0,N/A,No
36,Management,Single,Tertiary,No,3875,Yes,No,N/A,27,May,21,5,-1,0,N/A,No
46,Technician,Married,Secondary,No,-337,Yes,No,N/A,27,May,112,1,-1,0,N/A,No
60,Management,Divorced,Tertiary,No,366,No,No,Cellular,3,June,593,1,-1,0,N/A,Yes
57,Housemaid,Married,Primary,No,501,Yes,Yes,Cellular,7,August,59,2,-1,0,N/A,No
48,Management,Married,Tertiary,No,998,Yes,No,Cellular,29,January,121,3,-1,0,N/A,No
59,Self-employed,Married,Primary,No,0,Yes,No,Telephone,28,July,97,2,-1,0,N/A,No
39,Management,Married,Tertiary,No,246,No,No,Cellular,11,August,86,2,-1,0,N/A,No
44,Blue-collar,Married,Secondary,No,-182,Yes,Yes,Cellular,14,May,10,10,-1,0,N/A,No
27,Management,Single,Tertiary,No,446,No,No,Cellular,23,June,205,3,-1,0,N/A,No
59,Retired,Married,Secondary,No,1173,No,No,N/A,9,June,77,2,-1,0,N/A,No
36,Technician,Divorced,Secondary,No,5957,Yes,No,Cellular,18,November,138,2,-1,0,N/A,No
44,Admin.,Married,Secondary,No,205,No,No,Cellular,3,November,289,1,-1,0,N/A,Yes
50,Admin.,Married,Secondary,No,0,No,No,Cellular,4,August,86,4,-1,0,N/A,No
41,Management,Divorced,Tertiary,No,369,Yes,No,Telephone,22,August,9,3,-1,0,N/A,No
47,Admin.,Married,Secondary,No,1934,No,Yes,Cellular,14,May,225,1,364,1,Failure,No
32,Technician,Single,Tertiary,No,259,No,No,Cellular,22,July,407,4,-1,0,N/A,No
38,Blue-collar,Married,Secondary,No,284,Yes,Yes,N/A,3,June,1030,6,-1,0,N/A,No
55,Blue-collar,Married,N/A,No,23,No,No,Cellular,13,August,123,2,-1,0,N/A,No
38,Management,Single,Tertiary,No,1373,No,No,Cellular,22,October,119,4,-1,0,N/A,No
31,Management,Single,Tertiary,No,62,Yes,No,Cellular,18,May,175,1,293,5,Failure,No
38,Blue-collar,Divorced,Secondary,No,157,No,No,N/A,9,June,299,5,-1,0,N/A,No
29,Unemployed,Single,Tertiary,No,991,No,No,Cellular,5,February,563,1,-1,0,N/A,No
55,Services,Married,Secondary,No,186,Yes,Yes,N/A,9,May,241,1,-1,0,N/A,No
35,Unemployed,Married,Secondary,No,977,Yes,No,Cellular,4,May,52,4,91,1,other,No
40,Self-employed,Single,Tertiary,No,2893,No,No,Cellular,2,June,76,3,-1,0,N/A,No
34,Blue-collar,Married,Secondary,No,1897,Yes,Yes,Cellular,19,November,441,1,-1,0,N/A,No
32,Technician,Single,Tertiary,No,5514,No,No,Cellular,22,April,319,1,182,1,Success,Yes
33,Blue-collar,Married,Secondary,No,889,Yes,No,N/A,18,September,13,1,373,6,Success,No
33,Management,Married,Tertiary,No,273,Yes,No,N/A,16,May,803,1,-1,0,N/A,Yes
37,Admin.,Married,Secondary,No,1193,No,No,Cellular,12,May,396,2,-1,0,N/A,No
58,Management,Married,Tertiary,No,2729,No,No,N/A,18,June,188,1,-1,0,N/A,No
36,Admin.,Single,Secondary,No,0,No,No,Cellular,20,April,637,1,-1,0,N/A,No
42,Blue-collar,Married,Secondary,No,230,Yes,No,N/A,5,June,175,7,-1,0,N/A,No
34,Technician,Single,Secondary,No,2729,Yes,No,Cellular,6,April,945,1,139,1,Success,No
35,Management,Married,Tertiary,No,317,Yes,No,N/A,23,May,162,3,-1,0,N/A,No
60,Housemaid,Married,Primary,No,517,No,No,N/A,12,June,1178,3,-1,0,N/A,No
50,Management,Married,Tertiary,No,-470,Yes,No,Cellular,8,May,506,2,170,3,Failure,No
28,Self-employed,Single,Tertiary,No,4579,No,No,Cellular,12,January,409,2,-1,0,N/A,Yes
27,Blue-collar,Divorced,Secondary,No,1,Yes,No,Cellular,14,July,116,3,-1,0,N/A,No
37,Management,Married,Tertiary,No,5106,No,No,Cellular,30,April,244,1,-1,0,N/A,Yes
31,Technician,Married,Tertiary,No,636,Yes,No,Cellular,4,May,352,4,-1,0,N/A,Yes
34,Services,Married,Secondary,No,1076,No,No,Cellular,12,May,152,1,182,6,Success,Yes
38,Management,Married,Tertiary,No,126,Yes,No,N/A,21,May,164,2,-1,0,N/A,No
32,Self-employed,Married,Secondary,No,-33,Yes,No,N/A,28,May,234,3,-1,0,N/A,No
37,Technician,Married,Secondary,No,430,No,No,Cellular,27,August,154,4,-1,0,N/A,No
33,Admin.,Married,Secondary,No,-6,Yes,No,N/A,7,May,566,2,-1,0,N/A,No
71,Technician,Married,Tertiary,No,383,No,No,Cellular,27,October,327,2,183,3,Success,No
27,Technician,Married,Secondary,No,130,Yes,No,Cellular,7,May,265,3,-1,0,N/A,No
38,Blue-collar,Married,Primary,No,2569,No,No,N/A,9,June,172,1,-1,0,N/A,No
34,Technician,Single,Secondary,No,201,No,No,Cellular,22,July,257,2,-1,0,N/A,No
54,Retired,Divorced,Tertiary,No,0,No,No,N/A,13,May,618,1,-1,0,N/A,Yes
30,Blue-collar,Married,Secondary,No,6,Yes,No,Cellular,28,January,241,3,-1,0,N/A,No
35,Entrepreneur,Single,Secondary,No,475,No,Yes,Cellular,21,July,936,4,-1,0,N/A,No
33,Blue-collar,Single,Secondary,No,706,Yes,No,Cellular,7,April,329,1,322,1,Failure,No
36,Management,Married,Secondary,No,1825,Yes,No,Cellular,14,May,24,1,346,1,Failure,No
59,Self-employed,Married,Tertiary,No,185,No,No,Cellular,22,June,177,5,138,1,Failure,No
72,Blue-collar,Married,Primary,No,4415,No,No,Telephone,13,October,120,1,-1,0,N/A,No
64,Management,Married,Tertiary,No,679,No,No,Telephone,22,April,135,3,-1,0,N/A,No
53,Technician,Divorced,Secondary,No,320,No,No,Cellular,9,July,175,1,-1,0,N/A,No
35,Management,Single,Tertiary,No,2988,Yes,No,Cellular,25,May,179,1,-1,0,N/A,No
58,Self-employed,Married,Secondary,No,1407,Yes,No,N/A,30,May,58,1,-1,0,N/A,No
40,Technician,Married,Secondary,No,1270,No,No,Cellular,17,April,342,2,-1,0,N/A,No
41,Services,Divorced,Secondary,No,654,Yes,No,Cellular,13,May,139,2,-1,0,N/A,No
48,Retired,Married,Primary,No,5173,Yes,No,N/A,18,June,88,8,-1,0,N/A,No
44,Entrepreneur,Married,Tertiary,No,3463,Yes,Yes,Cellular,28,August,210,3,-1,0,N/A,No
39,Blue-collar,Married,N/A,No,0,No,No,Cellular,2,February,731,1,193,3,Failure,No
61,Management,Married,Tertiary,No,6016,No,No,Cellular,2,February,670,3,-1,0,N/A,Yes
36,Entrepreneur,Married,Primary,No,177,Yes,No,N/A,12,May,63,5,-1,0,N/A,No
28,Management,Married,Tertiary,No,3694,No,Yes,Cellular,8,July,70,2,-1,0,N/A,No
58,Retired,Single,Secondary,No,1640,No,Yes,Cellular,4,February,72,6,274,4,Failure,No
60,Admin.,Divorced,Secondary,No,174,Yes,No,Cellular,15,May,241,1,364,1,Failure,No
66,Admin.,Single,Secondary,No,10177,No,No,Cellular,5,May,272,4,-1,0,N/A,No
36,Management,Single,Tertiary,No,490,No,No,Cellular,28,August,207,8,98,1,Failure,Yes
49,Self-employed,Married,Secondary,No,2576,Yes,No,Cellular,15,May,64,6,-1,0,N/A,No
40,Services,Married,Secondary,No,0,No,No,N/A,12,June,543,2,-1,0,N/A,No
23,Technician,Single,Secondary,No,598,No,No,Cellular,30,April,166,1,-1,0,N/A,No
29,Management,Single,Tertiary,No,15459,No,No,Cellular,26,May,245,3,97,7,Success,No
44,Blue-collar,Married,Primary,No,271,Yes,Yes,N/A,9,May,94,1,-1,0,N/A,No
54,N/A,Married,N/A,No,2508,No,No,N/A,20,June,34,8,-1,0,N/A,No
47,Blue-collar,Married,Primary,No,320,No,No,Telephone,30,July,203,2,-1,0,N/A,No
33,Admin.,Married,Tertiary,No,640,No,No,Cellular,24,July,318,1,-1,0,N/A,No
30,Self-employed,Married,Secondary,No,1772,Yes,No,Cellular,13,April,158,4,-1,0,N/A,No
27,Admin.,Single,Secondary,No,15,No,Yes,Cellular,21,July,177,1,-1,0,N/A,No
49,Management,Divorced,Tertiary,No,2370,Yes,Yes,N/A,17,November,56,1,103,2,other,No
27,Services,Single,Secondary,No,201,Yes,No,N/A,4,June,172,2,-1,0,N/A,No
51,Blue-collar,Married,Secondary,No,160,Yes,No,Cellular,7,May,136,1,359,1,Failure,No
32,Admin.,Divorced,Secondary,Yes,5,Yes,Yes,Cellular,18,May,82,3,363,2,other,No
30,Blue-collar,Single,Secondary,No,75,Yes,No,N/A,16,May,123,1,-1,0,N/A,No
33,Admin.,Married,Secondary,No,4902,Yes,No,Cellular,20,November,110,1,-1,0,N/A,No
27,Blue-collar,Single,Primary,No,-79,Yes,No,N/A,30,May,385,5,-1,0,N/A,No
75,Retired,Divorced,Secondary,No,1341,No,No,Cellular,18,December,415,7,-1,0,N/A,Yes
37,Services,Divorced,Secondary,No,490,Yes,No,Cellular,2,February,73,1,-1,0,N/A,No
36,Technician,Single,Secondary,No,1521,Yes,No,N/A,16,June,243,2,-1,0,N/A,No
37,Blue-collar,Married,Secondary,No,131,Yes,No,N/A,9,May,137,2,-1,0,N/A,No
35,Management,Married,Tertiary,No,8,Yes,No,N/A,23,May,55,4,-1,0,N/A,No
32,Services,Married,Secondary,No,-632,Yes,Yes,Cellular,20,April,18,5,-1,0,N/A,No
32,Admin.,Single,Secondary,No,116,No,Yes,Cellular,16,July,255,2,-1,0,N/A,No
35,Admin.,Married,Primary,No,189,Yes,No,Cellular,11,May,95,1,-1,0,N/A,No
31,Blue-collar,Married,Primary,No,2,Yes,Yes,Cellular,10,July,112,1,-1,0,N/A,No
28,Blue-collar,Single,Secondary,No,4229,Yes,Yes,Cellular,5,May,205,2,-1,0,N/A,No
27,Services,Married,Secondary,No,54,Yes,No,Cellular,18,May,97,1,370,1,Failure,No
22,Student,Single,N/A,No,549,No,No,Cellular,2,September,154,1,-1,0,N/A,No
35,Blue-collar,Married,Primary,No,298,Yes,No,Cellular,13,May,135,2,370,2,Failure,No
69,Retired,Married,Primary,No,579,No,No,Cellular,14,August,230,1,-1,0,N/A,No
37,Entrepreneur,Single,Tertiary,No,1467,Yes,Yes,Cellular,17,November,349,1,-1,0,N/A,No
45,Admin.,Single,Secondary,No,0,Yes,No,Cellular,8,May,38,1,-1,0,N/A,No
47,Management,Married,Tertiary,No,109,Yes,No,Cellular,22,July,268,1,-1,0,N/A,No
52,Management,Married,Tertiary,No,-11,Yes,No,Cellular,11,May,94,4,-1,0,N/A,No
33,Services,Married,Secondary,No,90,Yes,No,Cellular,28,July,263,2,-1,0,N/A,No
60,Blue-collar,Married,Primary,No,493,No,No,Cellular,18,August,671,4,-1,0,N/A,Yes
33,Management,Divorced,Secondary,No,1897,Yes,Yes,N/A,2,June,197,1,-1,0,N/A,No
44,Admin.,Married,Secondary,No,2403,Yes,No,Cellular,28,January,180,2,-1,0,N/A,No
38,Entrepreneur,Married,Secondary,No,868,No,No,Cellular,20,November,452,2,-1,0,N/A,No
54,Entrepreneur,Married,Secondary,No,653,Yes,No,N/A,15,May,352,1,-1,0,N/A,No
32,Unemployed,Divorced,Primary,No,0,No,No,Cellular,15,July,175,4,-1,0,N/A,No
33,Technician,Married,Secondary,No,0,Yes,Yes,Cellular,19,November,163,2,-1,0,N/A,No
55,Services,Divorced,Secondary,No,218,Yes,No,N/A,29,May,200,2,-1,0,N/A,No
51,Blue-collar,Married,Primary,No,5050,No,Yes,N/A,16,June,75,7,-1,0,N/A,No
48,Blue-collar,Married,Secondary,No,741,Yes,No,Cellular,16,April,227,1,-1,0,N/A,No
37,Services,Single,Secondary,No,1050,Yes,No,Cellular,3,February,586,3,-1,0,N/A,No
33,Services,Single,Secondary,No,-56,No,Yes,Cellular,10,July,119,5,-1,0,N/A,No
30,Blue-collar,Married,Primary,No,1,Yes,Yes,Telephone,22,July,80,2,-1,0,N/A,No
43,Blue-collar,Married,Primary,No,-98,Yes,Yes,Cellular,12,May,112,2,330,3,other,No
49,Technician,Married,Secondary,No,4667,Yes,No,N/A,19,May,130,2,-1,0,N/A,No
54,Unemployed,Married,Primary,No,541,Yes,No,Cellular,3,February,237,3,-1,0,N/A,No
31,Unemployed,Married,Tertiary,No,7744,No,No,Cellular,26,August,377,8,-1,0,N/A,No
